node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
10002580,14106952,registered_address,registered address,,,,Panama Papers
10004460,14101133,registered_address,registered address,,,,Panama Papers
10023813,14105100,registered_address,registered address,,,,Panama Papers
10023840,14100712,registered_address,registered address,,,,Panama Papers
10010428,14093957,registered_address,registered address,,,,Panama Papers
10012916,14093957,registered_address,registered address,,,,Panama Papers
10016348,14091822,registered_address,registered address,,,,Panama Papers
10016353,14092974,registered_address,registered address,,,,Panama Papers
10022392,14098791,registered_address,registered address,,,,Panama Papers
10022689,14092925,registered_address,registered address,,,,Panama Papers
